model_name,table_access_accuracy,column_access_accuracy,query_similarity,results_match,null_query
Meditron 7b,0.010984257090814468,0.010430629259703682,0.15357193221305154,0.5466432474629196,overall
Qwen 2 Math 7b,0.008923994053570044,0.011850241724927464,0.1719461758016506,0.397736143637783,overall
Qwen 1.5 14b,0.05117096018735363,0.022363362422599727,0.21625748442549708,0.2857142857142857,overall
Phi4,0.0504892892041604,0.026480336106865697,0.23361455642141582,0.09094457455113193,overall
Medalpaca 13b,0.0,0.0,0.08782201405152225,0.08782201405152225,overall
DuckDB NSQL 7b,0.049357233212619624,0.05320518521394536,0.31469803441400485,0.02771272443403591,overall
SQLCoder 7b,0.007387869741499718,0.021421547764728217,0.23715715802288703,0.015027322404371584,overall
MedQwen Reasoning i1,0.054493783928795635,0.030658441833124984,0.2782702246165745,0.00468384074941452,overall
Qwen 2.5 14b,0.05841821245802511,0.031236768893969157,0.29537497998885737,0.00312256049960968,overall
Medalpaca 13b,0.0,0.0,1.0,1.0,1
Meditron 7b,0.012041791470546284,0.011434861858519827,0.1264233163585101,0.5571245186136072,0
Meditron 7b,0.0,0.0,0.43555555555555553,0.43777777777777777,1
Qwen 2 Math 7b,0.00978317191495355,0.012991150748508413,0.16090119914584033,0.4084296106118956,0
Qwen 1.5 14b,0.05609756097560975,0.024516446096149124,0.21568321570309093,0.2916131792896876,0
Qwen 2 Math 7b,0.0,0.0,0.2866666666666667,0.2866666666666667,1
Qwen 1.5 14b,0.0,0.0,0.2222222222222222,0.22444444444444445,1
Phi4,0.05535026056527982,0.02902979080264866,0.2518273399878765,0.09499358151476252,0
SQLCoder 7b,0.0,0.0,0.057777777777777775,0.06666666666666667,1
Phi4,0.0,0.0,0.044444444444444446,0.04888888888888889,1
DuckDB NSQL 7b,0.0,0.0,0.02,0.04666666666666667,1
DuckDB NSQL 7b,0.0541092133036934,0.05832763565174497,0.34307075916503227,0.025887890457851948,0
SQLCoder 7b,0.008099153734583774,0.023483956086107698,0.25442731658307083,0.010055626872058195,0
MedQwen Reasoning i1,0.059740297144019856,0.03361015317777758,0.3050613245475669,0.005134788189987163,0
Qwen 2.5 14b,0.06404255897195564,0.034244159994158745,0.32381287921756635,0.0034231921266581087,0
Medalpaca 13b,0.0,0.0,0.0,0.0,0
MedQwen Reasoning i1,0.0,0.0,0.0,0.0,1
Qwen 2.5 14b,0.0,0.0,0.0,0.0,1
