model,total_queries,execution_success_rate,result_match_rate,avg_table_access_accuracy,avg_column_access_accuracy,avg_query_similarity,avg_select_similarity,avg_from_similarity,avg_where_similarity,avg_composite_score,empty_results_both,experiment
Meditron 7b,5124,0.3233801717408275,0.3077673692427791,0.560309176468427,0.4893364787197256,0.6439522889159464,0.7385244563557667,0.7198105256650796,0.5789224705837399,0.36665457070205887,4751,zeroshot
Qwen 2.5 14b,5124,0.3231850117096019,0.3075722092115535,0.560341703140298,0.48930395204785465,0.6438687048994128,0.7384408163423842,0.719666723536808,0.5787978550813216,0.36658766429103784,4751,zeroshot
DuckDB NSQL 7b,5124,0.3233801717408275,0.3077673692427791,0.560309176468427,0.48933647871972563,0.6439522889159464,0.7385244563557666,0.7198105256650796,0.5789224705837399,0.36665457070205887,4751,zeroshot
Phi4,5124,0.3233801717408275,0.3077673692427791,0.560309176468427,0.48933647871972563,0.6439525611243403,0.7385244563557666,0.7198105256650796,0.5789227740387077,0.36665459792289834,4751,zeroshot
SQLCoder 7b,5124,0.3231850117096019,0.3075722092115535,0.5603091764684272,0.4893364787197256,0.6439522949486296,0.7385244563557666,0.7198105256650796,0.5789224764529499,0.3665960232959595,4751,zeroshot
Medalpaca 13b,5124,0.3231850117096019,0.3075722092115535,0.560309176468427,0.48929465871303435,0.6438479074483207,0.7383840780876921,0.7197888412171656,0.578794063189654,0.36657722054459035,4751,zeroshot
Qwen 1.5 14b,5124,0.3229898516783763,0.3073770491803279,0.560341703140298,0.48933647871972563,0.6438589575423913,0.7384408163423842,0.7196674083088475,0.5788043232505248,0.36653464688034215,4751,zeroshot
Qwen 2 Math 7b,5124,0.3231850117096019,0.3075722092115535,0.5602394764572751,0.4892714253759837,0.6439396447572292,0.7385000613518634,0.7197714936588344,0.578911030741702,0.36656780760584073,4751,zeroshot
MedQwen Reasoning i1,5124,0.3231850117096019,0.3075722092115535,0.5603091764684272,0.48930395204785465,0.6438274344985443,0.7385244563557667,0.719615365633854,0.5787638632440512,0.3665770319165768,4751,zeroshot
